File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Projected.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
POEM2021_T001_L008_2021.04.13_103906_001_KS.png,Full,2,0,0.371903,0,0.162117,0.232118,0.216638,0.352389,1.706709,0.017332,0.276,0.065,0.371903,0.087853,0.276,0.017332
POEM2021_T001_L008_2021.04.27_091643_002_KS.png,Full,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POEM2021_T001_L008_2021.05.29_145815_003_KS.png,Full,1,0,0,NA,0.1229,0,0,NA,1.413768,0,0,0.058,0,0,0,0
POEM2021_T001_L008_2021.06.11_141724_004_KS.png,Full,23,47,41.364563,1.136238,4.876096,0.127372,0.114666,0.299134,80.4811,0.634623,16.72283,0.241,41.364563,5.323042,16.72283,0.634623
POEM2021_T001_L008_2021.06.23_070717_005_IAC.png,Full,28,15,29.460575,0.509155,2.713934,0.096569,0.086529,0.256757,60.14992,0.243602,8.976817,0.224,29.460575,2.85741,8.976817,0.243602
POEM2021_T001_L008_2021.07.10_085548_006_KS.png,Full,15,9,38.231704,0.235407,4.183163,0.114894,0.116248,0.22973,77.845627,0.424476,13.759766,0.245,38.231704,4.37987,13.759766,0.424476
POEM2021_T001_L008_2021.07.26_093706_007_IAC.png,Full,12,0,32.721077,0,2.618974,0.083417,0.081081,0.216638,66.194836,0.193706,8.648198,0.181,32.721077,2.751638,8.648198,0.193706
POEM2021_T001_L008_2021.08.04_090245_008_IAC.png,Full,10,0,28.678917,0,2.196768,0.079955,0.081081,0.163284,58.084168,0.153701,7.251352,0.151,28.678917,2.308177,7.251352,0.153701
POEM2021_T001_L008_2021.09.01_093203_009_IAC.png,Full,26,4,28.118689,0.142254,2.017988,0.074708,0.072772,0.303678,56.73958,0.143222,6.626847,0.222,28.118689,2.109391,6.626847,0.143222
POEM2021_T001_L008_2021.09.20_104555_010_IAC.png,Full,44,32,98.177151,0.325941,11.039627,0.121254,0.108949,0.337838,193.58733,1.359722,37.352697,0.319,98.177151,11.889733,37.352697,1.359722
POEM2021_T001_L008_2021.10.18_135938_011_BD.png,Full,51,55,128.418472,0.428287,14.280953,0.120293,0.108108,0.384601,251.023341,1.750718,48.507508,0.335,128.418472,15.440419,48.507508,1.750718
POEM2021_T001_L008_2021.11.22_094640_012_IAC.png,Full,58,55,101.425952,0.542268,10.303917,0.10702,0.102916,0.266185,202.847053,1.05307,34.374709,0.319,101.425952,10.940002,34.374709,1.05307
POEM2021_T001_L008_2021.12.07_091106_013_IAC.png,Full,54,47,100.435905,0.46796,10.308985,0.108296,0.102916,0.27027,200.380871,1.054141,34.453095,0.301,100.435905,10.964695,34.453095,1.054141
POEM2021_T001_L008_2022.02.14_090534_014_IAC.png,Full,31,65,53.967755,1.204423,5.617924,0.11435,0.105544,0.302171,104.199591,0.645377,19.438074,0.287,53.967755,6.184424,19.438074,0.645377
POEM2021_T001_L008_2022.03.18_162639_015_IAC.png,Full,69,87,131.23562,0.66293,14.119795,0.119235,0.108108,0.458664,252.890499,1.788074,49.334296,0.335,131.23562,15.702235,49.334296,1.788074
POEM2021_T001_L008_2022.04.12_092937_016_IAC.png,Full,174,272,249.239871,1.091318,27.548484,0.125733,0.120869,0.436217,470.884657,3.694083,98.389761,0.438,249.239871,31.317849,98.389761,3.694083
POEM2021_T001_L008_2022.04.26_090925_017_IAC.png,Full,183,273,292.209905,0.93426,32.226397,0.125438,0.108949,0.465971,552.346388,4.506541,115.380846,0.46,292.209905,36.72454,115.380846,4.506541
POEM2021_T001_L008_2022.05.05_085736_018_IAC.png,Full,159,183,211.478362,0.865337,17.999361,0.094643,0.085467,0.333759,409.065008,1.741359,62.817246,0.359,211.478362,19.993596,62.817246,1.741359
POEM2021_T001_L008_2022.05.19_120620_019_IAC.png,Full,160,199,231.335793,0.860221,21.674215,0.105099,0.094595,0.363611,443.414114,2.435523,76.379271,0.396,231.335793,24.30937,76.379271,2.435523
POEM2021_T001_L008_2022.06.02_090108_020_IAC.png,Full,176,230,240.666567,0.955679,22.835692,0.105973,0.097447,0.392125,462.225058,2.520523,80.214367,0.403,240.666567,25.533026,80.214367,2.520523
POEM2021_T001_L008_2022.06.17_091911_021_IAC.png,Full,122,139,156.207598,0.889841,11.983565,0.085504,0.078797,0.321213,301.156374,1.099123,41.940538,0.334,156.207598,13.347947,41.940538,1.099123
POEM2021_T001_L008_2022.06.28_083621_022_IAC.png,Full,139,102,128.543916,0.793503,10.717175,0.092875,0.082199,0.341868,252.281514,1.058577,37.479571,0.331,128.543916,11.929731,37.479571,1.058577
POEM2021_T001_L008_2022.07.22_085717_023_IAC.png,Full,113,109,122.072952,0.892909,9.630296,0.088008,0.078797,0.378378,236.898908,0.94471,33.823705,0.314,122.072952,10.76642,33.823705,0.94471
POEM2021_T001_L008_2022.08.04_085645_024_IAC.png,Full,115,82,121.172684,0.67672,9.927411,0.091208,0.081081,0.389086,237.5202,1.052348,34.772837,0.332,121.172684,11.068538,34.772837,1.052348
POEM2021_T001_L008_2022.08.17_091733_025_IAC.png,Full,93,78,98.227264,0.794077,7.659697,0.088481,0.078797,0.437679,189.52331,0.799186,27.319953,0.292,98.227264,8.694983,27.319953,0.799186
POEM2021_T001_L010_2021.04.13_103914_001_KS.png,Full,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POEM2021_T001_L010_2021.04.27_091657_002_KS.png,Full,2,0,0.620545,0,0.067841,0.096374,0.095075,0.171999,1.500727,0.005908,0.19579,0.053,0.620545,0.062322,0.19579,0.005908
POEM2021_T001_L010_2021.05.29_145853_003_KS.png,Full,5,1,5.702964,0.175347,0.711149,0.130217,0.133093,0.193484,12.029752,0.081365,2.339144,0.22,5.702964,0.744573,2.339144,0.081365
POEM2021_T001_L010_2021.06.11_141734_004_KS.png,Full,9,11,20.757603,0.529926,3.164947,0.163477,0.171466,0.254972,40.857914,0.493952,10.755169,0.266,20.757603,3.423477,10.755169,0.493952
